ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,active_rank,generic,rollover,adj_price,adj_ratio
P2002.DCE,20190416,4720.0,4720.0,,,,4720.0,4720.0,0.0,0.0,0.0,0.0,0.0,0.0,P,20190222,20200214,3.0,Pv3,1,4865.5,1.0
P2003.DCE,20190510,4656.0,4656.0,4670.0,4682.0,4670.0,4682.0,4674.0,26.0,18.0,6.0,28.04,6.0,6.0,P,20190315,20200313,3.0,Pv3,1,4550.5,1.0
P2004.DCE,20190529,4684.0,4684.0,4708.0,4766.0,4708.0,4766.0,4736.0,82.0,52.0,100.0,473.7,2.0,0.0,P,20190416,20200415,1.0,Pv1,1,4825.0,1.1
P2006.DCE,20190701,4722.0,4722.0,4836.0,4836.0,4722.0,4836.0,4806.0,114.0,84.0,22.0,105.76,6.0,,P,20190618,20200612,3.0,Pv3,1,4858.9,1.0
P2007.DCE,20190805,4710.0,4710.0,4856.0,4886.0,4774.0,4842.0,4832.0,132.0,122.0,10.0,48.33,0.0,0.0,P,20190715,20200714,1.0,Pv1,1,4739.2,1.0
P2008.DCE,20190815,,5000.0,,,,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,,P,20190815,20200814,1.0,Pv1,1,5496.3,1.0
P2010.DCE,20191024,5192.0,5192.0,5140.0,5238.0,5140.0,5238.0,5188.0,46.0,-4.0,4.0,20.76,0.0,0.0,P,20191022,20201022,1.0,Pv1,1,5207.3,1.0
P2004.DCE,20191115,5666.0,5666.0,5492.0,5548.0,5492.0,5548.0,5520.0,-118.0,-146.0,4.0,22.08,2.0,0.0,P,20190416,20200415,3.0,Pv3,1,5616.7,1.1
P2008.DCE,20191121,5464.0,5464.0,,,,5614.0,5614.0,150.0,150.0,0.0,0.0,2.0,0.0,P,20190815,20200814,3.0,Pv3,1,6171.2,1.0
P2010.DCE,20191128,5584.0,5584.0,5656.0,5656.0,5548.0,5548.0,5600.0,-36.0,16.0,6.0,33.61,6.0,4.0,P,20191022,20201022,3.0,Pv3,1,5515.5,1.0
P2011.DCE,20191210,5676.0,5676.0,5742.0,5838.0,5674.0,5690.0,5774.0,14.0,98.0,102.0,589.14,6.0,-16.0,P,20191115,20201113,3.0,Pv3,1,4367.1,0.9
P2012.DCE,20191216,,5584.0,5778.0,5778.0,5778.0,5778.0,5778.0,194.0,194.0,2.0,11.56,2.0,,P,20191216,20201214,1.0,Pv1,1,5927.9,1.0
P2008.DCE,20200106,6092.0,6092.0,,,,6092.0,6092.0,0.0,0.0,0.0,0.0,7.0,0.0,P,20190815,20200814,2.0,Pv2,1,6696.6,1.0
P2011.DCE,20200120,5758.0,5758.0,5690.0,5800.0,5690.0,5800.0,5762.0,42.0,4.0,3.0,17.29,7.0,-3.0,P,20191115,20201113,3.0,Pv3,1,4451.5,0.9
P2010.DCE,20200121,5792.0,5792.0,5762.0,5762.0,5762.0,5762.0,5762.0,-30.0,-30.0,1.0,5.76,4.0,0.0,P,20191022,20201022,1.0,Pv1,1,5728.2,1.0
